district_id,district_name,reported_incidents,population,reports_per_10000,total_report_rank,population_adjusted_rank,report_period,population_reference_date
02,Friedrichshain-Kreuzberg,4001,292789.0,136.7,2,1,2025-01-01 to 2026-08-08,2025-12-31
01,Mitte,5130,397879.0,128.9,1,2,2025-01-01 to 2026-08-08,2025-12-31
03,Pankow,3193,428900.0,74.4,3,3,2025-01-01 to 2026-08-08,2025-12-31
04,Charlottenburg-Wilmersdorf,2476,343625.0,72.1,4,4,2025-01-01 to 2026-08-08,2025-12-31
07,Tempelhof-Schöneberg,2469,358835.0,68.8,5,5,2025-01-01 to 2026-08-08,2025-12-31
08,Neukölln,2041,331623.0,61.5,6,6,2025-01-01 to 2026-08-08,2025-12-31
09,Treptow-Köpenick,1758,302686.0,58.1,8,7,2025-01-01 to 2026-08-08,2025-12-31
11,Lichtenberg,1795,318261.0,56.4,7,8,2025-01-01 to 2026-08-08,2025-12-31
06,Steglitz-Zehlendorf,1628,309338.0,52.6,9,9,2025-01-01 to 2026-08-08,2025-12-31
12,Reinickendorf,1037,271755.0,38.2,10,10,2025-01-01 to 2026-08-08,2025-12-31
05,Spandau,692,261266.0,26.5,12,11,2025-01-01 to 2026-08-08,2025-12-31
10,Marzahn-Hellersdorf,745,296687.0,25.1,11,12,2025-01-01 to 2026-08-08,2025-12-31
