"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"BEZPGR";"E_E";"E_EM";"E_EW";"E_E00_01";"E_E01_02";"E_E02_03";"E_E03_05";"E_E05_06";"E_E06_07";"E_E07_08";"E_E08_10";"E_E10_12";"E_E12_14";"E_E14_15";"E_E15_18";"E_E18_21";"E_E21_25";"E_E25_27";"E_E27_30";"E_E30_35";"E_E35_40";"E_E40_45";"E_E45_50";"E_E50_55";"E_E55_60";"E_E60_63";"E_E63_65";"E_E65_67";"E_E67_70";"E_E70_75";"E_E75_80";"E_E80_85";"E_E85_90";"E_E90_95";"E_E95_110";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
"202512";"01100101";"01";"10";"01";"01";"0110";3469;1803;1666;21;28;25;41;19;19;18;45;48;42;18;58;65;208;152;236;375;316;243;221;196;185;117;73;72;97;131;151;136;89;20;4;21;113;190;58;273;1739;375;451;249
"202512";"01100102";"01";"10";"01";"02";"0110";2082;1118;964;12;27;9;40;19;6;10;24;29;27;18;29;28;96;43;119;266;256;189;132;113;158;96;45;37;50;72;55;40;27;6;4;12;95;114;29;124;1118;299;214;77
"202512";"01100103";"01";"10";"01";"03";"0110";5832;3055;2777;39;46;37;89;39;43;67;81;83;72;24;124;141;302;183;378;610;571;470;349;302;325;191;160;135;195;292;190;131;104;45;14;39;211;370;124;443;2863;676;812;294
"202512";"01100104";"01";"10";"01";"04";"0110";4966;2608;2358;44;49;45;98;49;47;34;82;71;84;41;137;152;337;203;350;556;525;393;332;285;256;200;119;92;80;128;86;48;31;9;3;44;241;359;137;489;2644;575;386;91
"202512";"01100205";"01";"10";"02";"05";"0110";2950;1536;1414;16;28;15;37;19;20;25;37;45;30;15;60;75;173;116;218;381;288;203;160;151;175;95;75;78;72;121;83;77;43;15;4;16;99;172;60;248;1517;345;354;139
"202512";"01100206";"01";"10";"02";"06";"0110";1901;996;905;18;16;18;37;9;12;13;30;29;16;15;31;51;98;55;96;200;199;187;119;118;135;89;49;43;40;42;43;39;36;12;6;18;80;115;31;149;974;273;168;93
"202512";"01100207";"01";"10";"02";"07";"0110";8907;4524;4383;73;85;71;152;57;74;75;144;136;109;52;146;200;355;224;498;998;1023;749;552;486;517;296;203;172;229;338;350;283;196;46;18;73;365;590;146;555;4530;1016;1089;543
"202512";"01100308";"01";"10";"03";"08";"0110";7363;3768;3595;77;57;63;105;62;47;74;92;98;108;51;130;138;340;242;491;954;965;677;564;483;436;214;128;102;118;214;117;123;70;20;3;77;287;470;130;478;4376;778;551;216
"202512";"01100309";"01";"10";"03";"09";"0110";12611;6417;6194;85;107;82;205;94;107;105;201;159;173;106;307;352;563;378;719;1287;1283;1128;1062;968;1036;549;307;201;247;341;216;129;88;23;3;85;488;851;307;915;6825;1892;1005;243
"202512";"01100310";"01";"10";"03";"10";"0110";10157;5310;4847;60;65;73;155;73;65;69;153;122;132;46;176;250;450;360;675;1248;1225;912;681;558;581;345;204;160;252;345;185;250;199;73;15;60;366;587;176;700;5659;1130;942;537
